id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
30655,SUAG,small_airport,"Artigas International Airport",-30.4007,-56.5079,410,SA,Uruguay,UY,"Artigas Department",UY-AR,AR,Artigas,0,SUAG,ATI,,,https://en.wikipedia.org/wiki/Artigas_Airport,,50,2024-04-07T06:17:40+00:00
41564,SUBU,small_airport,"Placeres Airport",-30.319807,-57.558823,252,SA,Uruguay,UY,"Artigas Department",UY-AR,AR,"Bella Union",0,SUBU,BUV,1290,,https://en.wikipedia.org/wiki/Placeres_Airport,,50,2023-12-15T20:57:18+00:00
325607,SUCD,small_airport,"Cardona Airport",-33.875502,-57.397875,554,SA,Uruguay,UY,"Soriano Department",UY-SO,SO,Cardona,0,SUCD,,,,,,50,2017-11-25T23:22:23+00:00
326557,SUSG,small_airport,"San Gregorio Airport",-32.526501,-55.841636,371,SA,Uruguay,UY,"Tacuarembo Department",UY-TA,TA,"Cerro Chato",0,SUSG,,,,,,50,2018-03-03T15:08:35+00:00
325611,SUCH,small_airport,"Chuy Airport",-33.71085,-53.471334,59,SA,Uruguay,UY,"Rocha Department",UY-RO,RO,Chuy,0,SUCH,,,,,,50,2017-11-25T23:49:39+00:00
348483,UY-0020,small_airport,"Cumbres de Carrasco Airport",-34.76896,-55.95315,83,SA,Uruguay,UY,"Canelones Department",UY-CA,CA,"Ciudad de la Costa",0,,,,,,,50,2021-10-07T16:15:02+00:00
348479,UY-0016,small_airport,"La Rabida Airport",-34.72139,-56.61134,104,SA,Uruguay,UY,"San José Department",UY-SJ,SJ,"Costas del Tigre",0,,,1001,,,,50,2023-12-19T00:14:50+00:00
348482,UY-0019,small_airport,"Wings of Freedom Airport",-34.76568,-55.48423,66,SA,Uruguay,UY,"Canelones Department",UY-CA,CA,"Cuchilla Alta",0,,,,,,,50,2021-10-07T16:13:30+00:00
325597,UY-0008,small_airport,"Ricardo Raver Airport",-34.312485,-57.041631,92,SA,Uruguay,UY,"San José Department",UY-SJ,SJ,"Ecilda Paullier",0,,,,,,,50,2017-11-25T11:09:27+00:00
325606,SUAN,small_airport,"Anchorena Airport",-34.270516,-57.964383,49,SA,Uruguay,UY,"Colonia Department",UY-CO,CO,"Estancia Anchorena",0,SUAN,,,,https://en.wikipedia.org/wiki/Estancia_Presidencial_Anchorena_Airport,,50,2017-11-25T22:56:54+00:00
39084,UY-0001,small_airport,"Villa Independencia Airport",-33.14196,-58.293759,52,SA,Uruguay,UY,"Río Negro Department",UY-RN,RN,"Fray Bentos",0,SUFB,,,,https://en.wikipedia.org/wiki/Villa_Independencia_Airport,"FZB, Fray Bentos Airport",50,2018-03-02T17:59:01+00:00
